,Network,,,,,,,,,,,rACC,,,,,,,,,,hippocampus,,,,,,,,,,NAcc,,,,,,,,,,amygdala,,,,,,,,,,lDLPFC,,,,,,,,,,lTPJ,,,,,,,,,,rDLPFC,,,,,,,,,,rTPJ,,,,,,,,,,ventral striatum,,,,,,,,,,precuneus,,,,,,,,,,FPC,,,,,,,,,,caudate,,,,,,,,,
Subject/Sample #,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree
1,0.282576,0.000000,0.077273,0.469755,1.000000,3.916667,0.151515,2.341270,0.000000,1.666667,,0.371212,0.000000,0.181818,0.466667,2.000000,4.000000,0.181818,2.142857,0.000000,2.000000,0.424242,0.000000,0.272727,0.538462,2.666667,3.000000,0.272727,1.857143,0.000000,3.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.371212,0.000000,0.181818,0.466667,2.000000,4.000000,0.181818,2.142857,0.000000,2.000000,0.328788,0.000000,0.109091,0.368421,1.333333,5.000000,0.181818,2.714286,0.000000,2.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.245455,NaN,0.000000,0.280000,0.666667,6.000000,0.090909,3.571429,NaN,1.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000,0.287879,NaN,0.000000,0.368421,1.333333,4.000000,0.090909,2.714286,NaN,1.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000,0.245455,NaN,0.000000,0.280000,0.666667,6.000000,0.090909,3.571429,NaN,1.000000,0.328788,0.000000,0.109091,0.368421,1.333333,5.000000,0.181818,2.714286,0.000000,2.000000
2,0.199495,0.744444,0.013636,0.789701,1.000000,1.900000,0.151515,1.360000,0.633333,1.666667,,0.363636,0.833333,0.018182,0.714286,2.409185,2.000000,0.272727,1.400000,0.666667,3.000000,0.303030,1.000000,0.000000,0.555556,1.742671,3.000000,0.181818,1.800000,1.000000,2.000000,0.409091,0.722222,0.063636,0.833333,2.846939,2.000000,0.363636,1.200000,0.500000,4.000000,0.348485,0.833333,0.009091,0.625000,2.347851,3.000000,0.272727,1.600000,0.666667,3.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.363636,0.333333,0.072727,0.714286,1.986839,2.000000,0.272727,1.400000,0.333333,3.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.242424,NaN,0.000000,0.454545,0.666515,3.000000,0.090909,2.200000,NaN,1.000000
3,0.204545,0.666667,0.024242,0.728749,1.000000,2.272727,0.151515,1.581818,0.666667,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.287879,0.000000,0.072727,0.500000,1.088712,3.000000,0.181818,2.000000,0.000000,2.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.318182,0.000000,0.109091,0.625000,1.937429,2.000000,0.181818,1.600000,0.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.280303,1.000000,0.000000,0.454545,2.628382,4.000000,0.181818,2.200000,1.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.348485,0.333333,0.109091,0.625000,3.228516,3.000000,0.272727,1.600000,0.333333,3.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.280303,1.000000,0.000000,0.454545,2.628382,4.000000,0.181818,2.200000,1.000000,2.000000,0.212121,NaN,0.000000,0.357143,0.488578,4.000000,0.090909,2.800000,NaN,1.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000
4,0.233586,0.516667,0.030303,0.706405,1.000000,2.363636,0.151515,1.606061,0.466667,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.265152,NaN,0.000000,0.400000,0.807785,4.000000,0.090909,2.500000,NaN,1.000000,0.393939,0.833333,0.018182,0.600000,2.540507,3.000000,0.272727,1.666667,0.666667,3.000000,0.393939,0.333333,0.090909,0.600000,2.238433,3.000000,0.272727,1.666667,0.333333,3.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.250000,NaN,0.000000,0.375000,0.427405,4.000000,0.090909,2.666667,NaN,1.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.348485,0.000000,0.090909,0.545455,1.184370,3.000000,0.181818,1.833333,0.000000,2.000000,0.454545,0.416667,0.163636,0.750000,2.854574,2.000000,0.363636,1.333333,0.333333,4.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.333333,1.000000,0.000000,0.500000,1.946927,3.000000,0.181818,2.000000,1.000000,2.000000
5,0.189394,0.900000,0.007576,0.771825,1.000000,1.833333,0.151515,1.333333,0.805556,1.666667,,0.363636,1.000000,0.000000,0.714286,2.015641,2.000000,0.272727,1.400000,1.000000,3.000000,0.409091,0.833333,0.018182,0.833333,2.314266,2.000000,0.363636,1.200000,0.666667,4.000000,0.318182,1.000000,0.000000,0.625000,1.371468,2.000000,0.181818,1.600000,1.000000,2.000000,0.318182,1.000000,0.000000,0.625000,1.371468,2.000000,0.181818,1.600000,1.000000,2.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.409091,0.833333,0.018182,0.833333,2.314266,2.000000,0.363636,1.200000,0.666667,4.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.454545,0.733333,0.054545,1.000000,2.612891,1.000000,0.454545,1.000000,0.500000,5.000000
6,0.283225,0.238095,0.109091,0.466328,1.000000,4.727273,0.151515,2.636364,0.238095,1.666667,,0.434848,0.333333,0.272727,0.421053,2.752132,5.000000,0.272727,2.375000,0.333333,3.000000,0.250866,NaN,0.000000,0.235294,0.103926,7.000000,0.090909,4.250000,NaN,1.000000,0.366667,0.000000,0.218182,0.363636,0.468209,5.000000,0.181818,2.750000,0.000000,2.000000,0.331818,0.000000,0.127273,0.296296,0.243844,6.000000,0.181818,3.375000,0.000000,2.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.281169,NaN,0.000000,0.266667,1.119791,7.000000,0.090909,3.750000,NaN,1.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.404545,0.333333,0.127273,0.347826,2.627383,6.000000,0.272727,2.875000,0.333333,3.000000,0.386364,0.000000,0.272727,0.421053,0.854723,4.000000,0.181818,2.375000,0.000000,2.000000,0.359091,1.000000,0.000000,0.333333,2.292749,6.000000,0.181818,3.000000,1.000000,2.000000,0.401515,0.000000,0.290909,0.444444,1.537242,4.000000,0.181818,2.250000,0.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000
7,0.181818,0.731481,0.006061,0.826667,1.000000,1.600000,0.151515,1.250000,0.638889,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.272727,1.000000,0.000000,0.666667,1.912016,2.000000,0.181818,1.500000,1.000000,2.000000,0.181818,0.000000,0.018182,1.000000,0.000000,1.000000,0.181818,1.000000,0.000000,2.000000,0.318182,0.833333,0.009091,0.800000,2.563374,2.000000,0.272727,1.250000,0.666667,3.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.272727,1.000000,0.000000,0.666667,1.912016,2.000000,0.181818,1.500000,1.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.318182,0.833333,0.009091,0.800000,2.563374,2.000000,0.272727,1.250000,0.666667,3.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.363636,0.722222,0.036364,1.000000,3.049220,1.000000,0.363636,1.000000,0.500000,4.000000
8,0.159091,0.950000,0.001515,0.942857,1.000000,1.285714,0.151515,1.071429,0.900000,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.363636,0.916667,0.006061,1.000000,2.583005,1.000000,0.363636,1.000000,0.833333,4.000000,0.318182,1.000000,0.000000,0.800000,2.125492,2.000000,0.272727,1.250000,1.000000,3.000000,0.363636,0.916667,0.006061,1.000000,2.583005,1.000000,0.363636,1.000000,0.833333,4.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.363636,0.916667,0.006061,1.000000,2.583005,1.000000,0.363636,1.000000,0.833333,4.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.318182,1.000000,0.000000,0.800000,2.125492,2.000000,0.272727,1.250000,1.000000,3.000000
9,0.273232,0.277778,0.059091,0.534734,1.000000,3.363636,0.151515,2.077922,0.277778,1.666667,,0.275758,NaN,0.000000,0.333333,1.005451,5.000000,0.090909,3.000000,NaN,1.000000,0.260606,NaN,0.000000,0.318182,0.380870,5.000000,0.090909,3.142857,NaN,1.000000,0.401515,0.333333,0.109091,0.466667,2.405044,4.000000,0.272727,2.142857,0.333333,3.000000,0.356061,0.000000,0.109091,0.437500,0.911043,4.000000,0.181818,2.285714,0.000000,2.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.295455,NaN,0.000000,0.388889,0.751817,4.000000,0.090909,2.571429,NaN,1.000000,0.181818,0.000000,0.018182,1.000000,0.000000,1.000000,0.181818,1.000000,0.000000,2.000000,0.439394,0.000000,0.254545,0.583333,1.798349,3.000000,0.272727,1.714286,0.000000,3.000000,0.356061,1.000000,0.000000,0.437500,2.108626,4.000000,0.181818,2.285714,1.000000,2.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.439394,0.333333,0.218182,0.583333,2.638799,3.000000,0.272727,1.714286,0.333333,3.000000
