,Network,,,,,,,,,,,rACC,,,,,,,,,,hippocampus,,,,,,,,,,NAcc,,,,,,,,,,amygdala,,,,,,,,,,lDLPFC,,,,,,,,,,lTPJ,,,,,,,,,,rDLPFC,,,,,,,,,,rTPJ,,,,,,,,,,ventral striatum,,,,,,,,,,precuneus,,,,,,,,,,FPC,,,,,,,,,,caudate,,,,,,,,,
Subject/Sample #,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree
1,0.264141,0.238095,0.071212,0.499551,1.000000,3.909091,0.151515,2.285714,0.238095,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.416667,0.333333,0.218182,0.500000,2.800824,4.000000,0.272727,2.000000,0.333333,3.000000,0.343939,1.000000,0.000000,0.388889,2.335051,5.000000,0.181818,2.571429,1.000000,2.000000,0.378788,0.000000,0.218182,0.500000,1.558253,3.000000,0.181818,2.000000,0.000000,2.000000,0.356061,0.000000,0.181818,0.437500,0.854089,4.000000,0.181818,2.285714,0.000000,2.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.321212,0.000000,0.109091,0.350000,0.445029,5.000000,0.181818,2.857143,0.000000,2.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.389394,0.333333,0.109091,0.411765,2.676085,5.000000,0.272727,2.428571,0.333333,3.000000,0.181818,0.000000,0.018182,1.000000,0.000000,1.000000,0.181818,1.000000,0.000000,2.000000,0.240909,NaN,0.000000,0.269231,0.189736,6.000000,0.090909,3.714286,NaN,1.000000,0.268182,NaN,0.000000,0.304348,1.140935,6.000000,0.090909,3.285714,NaN,1.000000
2,0.171717,0.666667,0.006061,0.850000,1.000000,1.600000,0.151515,1.266667,0.666667,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.272727,1.000000,0.000000,1.000000,3.000000,1.000000,0.272727,1.000000,1.000000,3.000000,0.272727,1.000000,0.000000,1.000000,3.000000,1.000000,0.272727,1.000000,1.000000,3.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.272727,1.000000,0.000000,1.000000,3.000000,1.000000,0.272727,1.000000,1.000000,3.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.272727,1.000000,0.000000,1.000000,3.000000,1.000000,0.272727,1.000000,1.000000,3.000000
3,0.224747,0.620370,0.030303,0.638646,1.000000,2.777778,0.151515,1.740741,0.527778,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.325758,1.000000,0.000000,0.461538,1.685657,4.000000,0.181818,2.166667,1.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.242424,NaN,0.000000,0.352941,0.246735,4.000000,0.090909,2.833333,NaN,1.000000,0.393939,0.833333,0.027273,0.600000,2.340113,3.000000,0.272727,1.666667,0.666667,3.000000,0.333333,0.000000,0.090909,0.500000,0.737052,3.000000,0.181818,2.000000,0.000000,2.000000,0.439394,0.722222,0.090909,0.666667,2.762877,3.000000,0.363636,1.500000,0.500000,4.000000,0.409091,0.333333,0.145455,0.666667,1.955006,2.000000,0.272727,1.500000,0.333333,3.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.371212,0.833333,0.009091,0.500000,2.272560,4.000000,0.272727,2.000000,0.666667,3.000000
4,0.186869,0.666667,0.009091,0.781818,1.000000,1.818182,0.151515,1.363636,0.666667,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.272727,0.333333,0.036364,1.000000,3.785386,1.000000,0.272727,1.000000,0.333333,3.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.227273,1.000000,0.000000,0.750000,3.235133,2.000000,0.181818,1.333333,1.000000,2.000000,0.181818,NaN,0.000000,0.600000,1.744348,2.000000,0.090909,1.666667,NaN,1.000000,0.227273,1.000000,0.000000,0.750000,3.235133,2.000000,0.181818,1.333333,1.000000,2.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000
5,0.326768,0.309524,0.133333,0.351030,1.000000,5.000000,0.151515,2.955556,0.309524,1.666667,,0.377273,1.000000,0.000000,0.310345,2.053499,6.000000,0.181818,3.222222,1.000000,2.000000,0.503030,0.166667,0.363636,0.409091,2.870829,5.000000,0.363636,2.444444,0.166667,4.000000,0.446970,0.000000,0.363636,0.450000,1.580132,4.000000,0.181818,2.222222,0.000000,2.000000,0.331818,NaN,0.000000,0.300000,1.197167,6.000000,0.090909,3.333333,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.283333,NaN,0.000000,0.250000,0.130956,6.000000,0.090909,4.000000,NaN,1.000000,0.319697,NaN,0.000000,0.300000,0.259424,5.000000,0.090909,3.333333,NaN,1.000000,0.439394,0.000000,0.363636,0.450000,0.918357,3.000000,0.181818,2.222222,0.000000,2.000000,0.377273,1.000000,0.000000,0.310345,2.053499,6.000000,0.181818,3.222222,1.000000,2.000000,0.380303,0.000000,0.145455,0.321429,0.314034,5.000000,0.181818,3.111111,0.000000,2.000000,0.462121,0.000000,0.363636,0.409091,0.622103,4.000000,0.272727,2.444444,0.000000,3.000000
6,0.257576,0.166667,0.040909,0.547237,1.000000,3.000000,0.151515,1.939394,0.166667,1.666667,,0.265152,NaN,0.000000,0.400000,1.078504,4.000000,0.090909,2.500000,NaN,1.000000,0.393939,0.333333,0.090909,0.600000,2.629699,3.000000,0.272727,1.666667,0.333333,3.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.265152,NaN,0.000000,0.400000,1.078504,4.000000,0.090909,2.500000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.393939,0.333333,0.090909,0.600000,2.629699,3.000000,0.272727,1.666667,0.333333,3.000000,0.242424,NaN,0.000000,0.352941,0.546739,4.000000,0.090909,2.833333,NaN,1.000000,0.409091,0.333333,0.145455,0.666667,2.703748,2.000000,0.272727,1.500000,0.333333,3.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000,0.333333,0.000000,0.090909,0.500000,1.333105,3.000000,0.181818,2.000000,0.000000,2.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000
7,0.166667,0.916667,0.003030,0.875000,1.000000,1.500000,0.151515,1.166667,0.833333,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.272727,0.833333,0.009091,1.000000,3.369317,1.000000,0.272727,1.000000,0.666667,3.000000,0.272727,0.833333,0.009091,1.000000,0.000000,1.000000,0.272727,1.000000,0.666667,3.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.227273,1.000000,0.000000,0.750000,2.630683,2.000000,0.181818,1.333333,1.000000,2.000000,0.227273,1.000000,0.000000,0.750000,0.000000,2.000000,0.181818,1.333333,1.000000,2.000000,0.272727,0.833333,0.009091,1.000000,3.369317,1.000000,0.272727,1.000000,0.666667,3.000000,0.272727,0.833333,0.009091,1.000000,0.000000,1.000000,0.272727,1.000000,0.666667,3.000000,0.227273,1.000000,0.000000,0.750000,2.630683,2.000000,0.181818,1.333333,1.000000,2.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.227273,1.000000,0.000000,0.750000,0.000000,2.000000,0.181818,1.333333,1.000000,2.000000
8,0.191919,0.800000,0.012121,0.760687,1.000000,2.125000,0.151515,1.400000,0.733333,1.666667,,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.348485,1.000000,0.000000,0.625000,2.241375,3.000000,0.272727,1.600000,1.000000,3.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.348485,1.000000,0.000000,0.625000,2.241375,3.000000,0.272727,1.600000,1.000000,3.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.242424,NaN,0.000000,0.454545,0.514802,3.000000,0.090909,2.200000,NaN,1.000000,0.363636,0.333333,0.072727,0.714286,1.726573,2.000000,0.272727,1.400000,0.333333,3.000000,0.409091,0.833333,0.036364,0.833333,2.637937,2.000000,0.363636,1.200000,0.666667,4.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.409091,0.833333,0.036364,0.833333,2.637937,2.000000,0.363636,1.200000,0.666667,4.000000
9,0.186869,0.666667,0.009091,0.781818,1.000000,1.818182,0.151515,1.363636,0.666667,1.666667,,0.227273,1.000000,0.000000,0.750000,3.235133,2.000000,0.181818,1.333333,1.000000,2.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000,0.166667,NaN,0.000000,0.500000,0.000000,3.000000,0.090909,2.000000,NaN,1.000000,0.227273,1.000000,0.000000,0.750000,3.235133,2.000000,0.181818,1.333333,1.000000,2.000000,0.227273,0.000000,0.036364,0.750000,0.000000,2.000000,0.181818,1.333333,0.000000,2.000000,0.272727,0.333333,0.036364,1.000000,3.785386,1.000000,0.272727,1.000000,0.333333,3.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.181818,NaN,0.000000,0.600000,1.744348,2.000000,0.090909,1.666667,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000
