,Network,,,,,,,,,,,rACC,,,,,,,,,,hippocampus,,,,,,,,,,NAcc,,,,,,,,,,amygdala,,,,,,,,,,lDLPFC,,,,,,,,,,lTPJ,,,,,,,,,,rDLPFC,,,,,,,,,,rTPJ,,,,,,,,,,ventral striatum,,,,,,,,,,precuneus,,,,,,,,,,FPC,,,,,,,,,,caudate,,,,,,,,,
Subject/Sample #,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree,GlobalEfficiency,LocalEfficiency,BetweennessCentrality,ClosenessCentrality,EigenvectorCentrality,Eccentricity,Cost,AveragePathLength,ClusteringCoefficient,Degree
1,0.338384,0.000000,0.119697,0.379284,1.000000,4.900000,0.151515,2.755556,0.000000,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.359091,NaN,0.000000,0.360000,1.068020,5.000000,0.090909,2.777778,NaN,1.000000,0.389394,0.000000,0.018182,0.333333,1.224154,6.000000,0.181818,3.000000,0.000000,2.000000,0.274242,NaN,0.000000,0.243243,0.184802,6.000000,0.090909,4.111111,NaN,1.000000,0.389394,0.000000,0.018182,0.333333,1.224154,6.000000,0.181818,3.000000,0.000000,2.000000,0.362121,0.000000,0.145455,0.310345,0.426170,5.000000,0.181818,3.222222,0.000000,2.000000,0.434848,0.000000,0.109091,0.409091,1.598856,5.000000,0.181818,2.444444,0.000000,2.000000,0.434848,0.000000,0.109091,0.409091,1.598856,5.000000,0.181818,2.444444,0.000000,2.000000,0.409091,0.000000,0.254545,0.391304,0.797984,4.000000,0.181818,2.555556,0.000000,2.000000,0.454545,0.000000,0.327273,0.473684,1.414054,3.000000,0.181818,2.111111,0.000000,2.000000,0.553030,0.000000,0.454545,0.529412,2.462950,4.000000,0.363636,1.888889,0.000000,4.000000
2,0.159091,0.952381,0.001515,0.954545,1.000000,1.181818,0.151515,1.060606,0.904762,1.666667,,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.227273,1.000000,0.000000,0.750000,2.630683,2.000000,0.181818,1.333333,1.000000,2.000000,0.227273,1.000000,0.000000,0.750000,2.630683,2.000000,0.181818,1.333333,1.000000,2.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.272727,0.833333,0.009091,1.000000,3.369317,1.000000,0.272727,1.000000,0.666667,3.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.272727,0.833333,0.009091,1.000000,3.369317,1.000000,0.272727,1.000000,0.666667,3.000000
3,0.181818,0.700000,0.006061,0.830476,1.000000,1.600000,0.151515,1.250000,0.700000,1.666667,,0.363636,0.500000,0.054545,1.000000,2.936764,1.000000,0.363636,1.000000,0.500000,4.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.318182,1.000000,0.000000,0.800000,2.703878,2.000000,0.272727,1.250000,1.000000,3.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.181818,0.000000,0.018182,1.000000,0.000000,1.000000,0.181818,1.000000,0.000000,2.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.227273,NaN,0.000000,0.571429,0.951601,2.000000,0.090909,1.750000,NaN,1.000000,0.318182,1.000000,0.000000,0.800000,2.703878,2.000000,0.272727,1.250000,1.000000,3.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.318182,1.000000,0.000000,0.800000,2.703878,2.000000,0.272727,1.250000,1.000000,3.000000
4,0.266162,0.238095,0.068182,0.509540,1.000000,3.818182,0.151515,2.233766,0.238095,1.666667,,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.356061,1.000000,0.000000,0.437500,2.247136,4.000000,0.181818,2.285714,1.000000,2.000000,0.371212,0.000000,0.181818,0.466667,1.440608,4.000000,0.181818,2.142857,0.000000,2.000000,0.416667,0.333333,0.181818,0.500000,2.650962,4.000000,0.272727,2.000000,0.333333,3.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.343939,0.000000,0.109091,0.388889,1.360869,5.000000,0.181818,2.571429,0.000000,2.000000,0.181818,0.000000,0.018182,1.000000,0.000000,1.000000,0.181818,1.000000,0.000000,2.000000,0.253030,NaN,0.000000,0.291667,0.574220,6.000000,0.090909,3.428571,NaN,1.000000,0.328788,0.000000,0.109091,0.368421,0.739535,5.000000,0.181818,2.714286,0.000000,2.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.424242,0.333333,0.218182,0.538462,2.674623,3.000000,0.272727,1.857143,0.333333,3.000000,0.245455,NaN,0.000000,0.280000,0.312047,6.000000,0.090909,3.571429,NaN,1.000000
5,0.212121,0.683333,0.012121,0.729718,1.000000,1.777778,0.151515,1.422222,0.605556,1.666667,,0.318182,1.000000,0.000000,0.625000,1.730154,2.000000,0.181818,1.600000,1.000000,2.000000,0.318182,1.000000,0.000000,0.625000,1.730154,2.000000,0.181818,1.600000,1.000000,2.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.363636,0.833333,0.009091,0.714286,2.298585,2.000000,0.272727,1.400000,0.666667,3.000000,0.181818,0.000000,0.018182,1.000000,0.000000,1.000000,0.181818,1.000000,0.000000,2.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.363636,0.833333,0.009091,0.714286,2.298585,2.000000,0.272727,1.400000,0.666667,3.000000,0.136364,NaN,0.000000,0.666667,0.000000,2.000000,0.090909,1.500000,NaN,1.000000,0.272727,NaN,0.000000,0.555556,0.974969,2.000000,0.090909,1.800000,NaN,1.000000,0.454545,0.433333,0.109091,1.000000,2.967551,1.000000,0.454545,1.000000,0.300000,5.000000
6,0.219697,0.571429,0.019697,0.632063,1.000000,2.500000,0.151515,1.650000,0.571429,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.272727,0.000000,0.054545,0.666667,0.000000,2.000000,0.181818,1.500000,0.000000,2.000000,0.257576,1.000000,0.000000,0.571429,0.000000,3.000000,0.181818,1.750000,1.000000,2.000000,0.196970,NaN,0.000000,0.444444,0.000000,3.000000,0.090909,2.250000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.272727,1.000000,0.000000,0.666667,2.788897,2.000000,0.181818,1.500000,1.000000,2.000000,0.212121,NaN,0.000000,0.500000,1.394449,3.000000,0.090909,2.000000,NaN,1.000000,0.318182,0.333333,0.054545,0.800000,3.211103,2.000000,0.272727,1.250000,0.333333,3.000000,0.318182,0.333333,0.072727,0.800000,0.000000,2.000000,0.272727,1.250000,0.333333,3.000000,0.318182,0.333333,0.054545,0.800000,3.211103,2.000000,0.272727,1.250000,0.333333,3.000000,0.212121,NaN,0.000000,0.500000,1.394449,3.000000,0.090909,2.000000,NaN,1.000000,0.257576,1.000000,0.000000,0.571429,0.000000,3.000000,0.181818,1.750000,1.000000,2.000000
7,0.199495,0.666667,0.013636,0.741270,1.000000,2.000000,0.151515,1.439394,0.666667,1.666667,,0.181818,NaN,0.000000,0.600000,0.000000,2.000000,0.090909,1.666667,NaN,1.000000,0.272727,0.000000,0.054545,0.666667,1.961575,2.000000,0.181818,1.500000,0.000000,2.000000,0.227273,1.000000,0.000000,0.750000,0.000000,2.000000,0.181818,1.333333,1.000000,2.000000,0.196970,NaN,0.000000,0.444444,0.885859,3.000000,0.090909,2.250000,NaN,1.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.257576,1.000000,0.000000,0.571429,2.847435,3.000000,0.181818,1.750000,1.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.318182,0.333333,0.072727,0.800000,3.457696,2.000000,0.272727,1.250000,0.333333,3.000000,0.272727,0.333333,0.036364,1.000000,0.000000,1.000000,0.272727,1.000000,0.333333,3.000000,0.257576,1.000000,0.000000,0.571429,2.847435,3.000000,0.181818,1.750000,1.000000,2.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.227273,1.000000,0.000000,0.750000,0.000000,2.000000,0.181818,1.333333,1.000000,2.000000
8,0.361905,0.000000,0.189394,0.320880,1.000000,5.636364,0.151515,3.272727,0.000000,1.666667,,0.312121,NaN,0.000000,0.263158,0.618688,6.000000,0.090909,3.800000,NaN,1.000000,0.457576,0.000000,0.309091,0.333333,1.474538,6.000000,0.272727,3.000000,0.000000,3.000000,0.465152,0.000000,0.381818,0.400000,1.710410,5.000000,0.181818,2.500000,0.000000,2.000000,0.322078,NaN,0.000000,0.256410,0.699329,7.000000,0.090909,3.900000,NaN,1.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.322078,NaN,0.000000,0.256410,0.699329,7.000000,0.090909,3.900000,NaN,1.000000,0.415152,0.000000,0.290909,0.333333,0.989001,5.000000,0.181818,3.000000,0.000000,2.000000,0.369697,0.000000,0.163636,0.270270,0.605177,6.000000,0.181818,3.700000,0.000000,2.000000,0.522727,0.000000,0.581818,0.454545,2.131868,4.000000,0.272727,2.200000,0.000000,3.000000,0.282035,NaN,0.000000,0.217391,0.287017,7.000000,0.090909,4.600000,NaN,1.000000,0.454545,0.000000,0.381818,0.400000,1.480135,4.000000,0.181818,2.500000,0.000000,2.000000,0.419697,0.000000,0.163636,0.344828,1.304506,5.000000,0.181818,2.900000,0.000000,2.000000
9,0.181818,0.892857,0.006061,0.870476,1.000000,1.400000,0.151515,1.200000,0.857143,1.666667,,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.318182,0.833333,0.009091,0.800000,2.927002,2.000000,0.272727,1.250000,0.666667,3.000000,0.000000,NaN,0.000000,NaN,0.000000,NaN,0.000000,NaN,NaN,0.000000,0.272727,1.000000,0.000000,0.666667,2.302315,2.000000,0.181818,1.500000,1.000000,2.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.227273,NaN,0.000000,0.571429,1.212404,2.000000,0.090909,1.750000,NaN,1.000000,0.090909,NaN,0.000000,1.000000,0.000000,1.000000,0.090909,1.000000,NaN,1.000000,0.272727,1.000000,0.000000,0.666667,2.302315,2.000000,0.181818,1.500000,1.000000,2.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.363636,0.416667,0.063636,1.000000,3.255964,1.000000,0.363636,1.000000,0.333333,4.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000,0.181818,1.000000,0.000000,1.000000,0.000000,1.000000,0.181818,1.000000,1.000000,2.000000
